state,Total Population,Under 10 years old,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 years and over
AL,2429703.0,306437.0,167636.0,99974.0,67361.0,36835.0,33355.0,93427.0,165130.0,154019.0,149660.0,149679.0,153164.0,156801.0,164053.0,65142.0,94891.0,57161.0,74995.0,105919.0,134064.0
AK,384749.0,53344.0,25485.0,14977.0,9878.0,5752.0,6367.0,16982.0,31655.0,29907.0,27245.0,23105.0,22986.0,23455.0,24551.0,10519.0,13514.0,8773.0,10712.0,12359.0,13183.0
AZ,3533895.0,435518.0,244849.0,144036.0,99223.0,51285.0,49589.0,147241.0,256594.0,242974.0,231056.0,219194.0,212042.0,207834.0,211546.0,85825.0,118151.0,76219.0,107192.0,160666.0,232861.0
AR,1483520.0,195133.0,105077.0,62435.0,41759.0,23469.0,20434.0,57146.0,99040.0,95296.0,96561.0,91170.0,90448.0,90745.0,97843.0,38021.0,52218.0,33650.0,44903.0,62538.0,85634.0
CA,19714044.0,2449793.0,1362100.0,792617.0,529966.0,279345.0,269923.0,800634.0,1538050.0,1518085.0,1424387.0,1296275.0,1273168.0,1264017.0,1239784.0,482736.0,643638.0,389220.0,508667.0,683160.0,968479.0
CO,2895936.0,342794.0,191554.0,112904.0,78517.0,40101.0,35842.0,118708.0,229868.0,234150.0,217343.0,199930.0,187740.0,176751.0,181659.0,71058.0,97753.0,61271.0,80442.0,107867.0,129684.0
CT,1768860.0,192976.0,115470.0,72468.0,52870.0,25866.0,23950.0,74077.0,113856.0,112538.0,110750.0,106582.0,112721.0,126100.0,130797.0,52437.0,71499.0,39968.0,54345.0,73549.0,106041.0
DE,477219.0,56213.0,30950.0,18348.0,12680.0,6756.0,6479.0,16265.0,32141.0,31668.0,30222.0,26794.0,27899.0,30730.0,34190.0,12531.0,19347.0,12072.0,17742.0,23098.0,31094.0
DC,325490.0,39225.0,16300.0,7748.0,9435.0,4547.0,3904.0,13869.0,35427.0,37517.0,30036.0,22695.0,19030.0,18207.0,18298.0,6256.0,8478.0,5345.0,6660.0,9414.0,13099.0
FL,10489548.0,1155198.0,644169.0,379009.0,249648.0,127817.0,129735.0,374472.0,695887.0,694218.0,667839.0,647529.0,664590.0,691110.0,714509.0,286697.0,390219.0,253050.0,356097.0,528650.0,839105.0
