"state","percWomen","percMen"
"Kentucky",45.3,35.5
"Nevada",43.8,32.8
"Alaska",43.3,30.2
"Arizona",42.6,33.4
"Indiana",42.5,27.9
"South Carolina",42.3,29.2
"Missouri",41.8,35.2
"Illinois",41.5,25.9
"Washington",41.4,31.7
"Arkansas",40.8,34.8
"Oklahoma",40.1,37.8
"Texas",40.1,34.9
"Oregon",39.8,36.2
"Mississippi",39.7,31.7
"Tennessee",39.6,36.8
"West Virginia",39.4,36.3
"Maine",39.3,33.6
"Vermont",39.2,30.9
"Ohio",38,33
"Florida",37.9,29.3
"Connecticut",37.7,33.9
"Delaware",37.6,32.7
"New Mexico",37.6,33.3
"Alabama",37.5,29.5
"Georgia",37.4,30.4
"Montana",37.2,34.6
"Pennsylvania",37.1,30.4
"Colorado",36.8,30.5
"Wisconsin",36.3,32.1
"Michigan",36.1,25.8
"Louisiana",35.9,35.2
"New Jersey",35.8,27.4
"Iowa",35.3,29.3
"North Carolina",35.2,30.3
"California",34.9,31.1
"Hawaii",34.7,24.1
"New Hampshire",34.7,35.4
"Maryland",34.4,28.8
"Kansas",33.9,31.1
"Massachusetts",33.9,31.7
"Minnesota",33.9,25.1
"Wyoming",33.9,30.5
"Nebraska",33.7,28
"South Dakota",33.7,30.2
"Utah",33.6,21.4
"Virginia",33.6,28.6
"Idaho",33,38.2
"Rhode Island",32.6,25.4
"New York",31.7,29
"North Dakota",29.7,18.5
